tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-07-02,300,14,24,4.67,5500.00
906031,"Гостиница ""Матрёшка""",2026-07-02,35,9,19,25.71,4982.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-07-02,59,5,11,8.47,6700.00
1328740,"Гостиница ""На Звездинской""",2026-07-02,30,6,12,20.0,5000.00
1296851,"Гостиница ""Русь""",2026-07-02,56,9,21,16.07,4600.00
1845315,"Апарт -отель ""BaikalStory """,2026-07-02,10,1,4,10.0,4400.00
1782205,"Гостиница ""Березка""",2026-07-02,8,2,9,25.0,6000.00
1889753,"Мини-отель ""Проспект""",2026-07-02,4,1,4,25.0,3600.00
1462849,"Гостиница ""7 дорог""",2026-07-02,19,6,23,31.58,8400.00
1490581,"Гостиница ""Юбилейная""",2026-07-02,23,5,10,21.74,3000.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-07-02,30,12,46,40.0,3000.00
1064267,"Мини-отель ""Nice People""",2026-07-02,6,5,8,83.33,3100.00
1298063,"Бутик-отель ""География""",2026-07-02,12,4,7,33.33,6100.00
787596,"Гостиница ""Ochagof""",2026-07-02,23,3,9,13.04,4760.00
1000539,"Отель ""Маяк""",2026-07-02,75,6,10,8.0,10340.00
1277758,"Отель ""Гранд Байкал""",2026-07-02,64,5,11,7.81,5400.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-07-02,37,6,12,16.22,15000.00
1032271,"Отель ""Даурия""",2026-07-02,15,2,4,13.33,6500.00
946962,"Отель ""Лотос""",2026-07-02,21,8,17,38.1,2500.00
1265779,"Отель ""Клубный Квартал""",2026-07-02,48,5,10,10.42,3500.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-07-02,66,3,6,4.55,5200.00
1367592,"Отель ""Атлас""",2026-07-02,28,3,9,10.71,5600.00
1367731,"Отель ""Яковлевъ""",2026-07-02,25,5,11,20.0,3000.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-07-02,31,8,18,25.81,4000.00
1467982,Гостиница,2026-07-02,5,3,5,60.0,1500.00
1490199,Отель «Альпари»,2026-07-02,10,3,8,30.0,2400.00
1390225,"Гостиница ""Добрый Кот""",2026-07-02,10,1,2,10.0,2400.00
1491765,"Гостиница ""130Hotel""",2026-07-02,12,5,9,41.67,3000.00
1508283,"Гостиница"" Аврора""",2026-07-02,7,4,10,57.14,3300.00
1609403,"Отель ""Иркут""",2026-07-02,30,9,16,30.0,3200.00
1655828,"Апарт-отель ""Светлый""",2026-07-02,6,4,8,66.67,4500.00
1690094,Гостиница Олимпиада,2026-07-02,25,5,8,20.0,1700.00
1851647,"Парк-Отель ""Шелест""",2026-07-02,8,4,8,50.0,5000.00
1913029,"Отель ""Точка Байкала""",2026-07-02,26,3,12,11.54,8000.00
1892012,"Отель ""Подлеморье""",2026-07-02,14,3,7,21.43,8000.00
1487384,"Парк отель ""Уюга""",2026-07-02,58,4,16,6.9,6000.00
2036706,"Отель ""Магистраль""",2026-07-02,21,9,25,42.86,3100.00
904225,"Отель ""Михаил Строгов""",2026-07-02,21,10,18,47.62,4500.00
1296594,"Отель ""Тайга""",2026-07-02,44,9,22,20.45,5000.00
1276636,"Парк-отель ""Бурдугуз""",2026-07-02,69,5,15,7.25,19500.00
1441288,Отель Армат 4*,2026-07-02,36,0,0,0.0,
1472664,"Гостиница ""Байкал Форест""",2026-07-02,76,5,15,6.58,7395.00
1343236,"Бутик-отель ""Аристократ""",2026-07-02,12,6,12,50.0,5100.00
2063101,"Гостиница ""Азия-Европа""",2026-07-02,19,7,14,36.84,4000.00
1019043,"Гостиница ""Спектр""",2026-07-02,14,1,2,7.14,3000.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-07-02,15,7,12,46.67,3100.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-07-02,15,6,14,40.0,3885.00
1382100,"Гостиница ""У Истока""",2026-07-02,24,4,8,16.67,3400.00
1632075,"Отель"" Арбат""",2026-07-02,11,8,14,72.73,3200.00
1785783,"Отель ""Белый Берег""",2026-07-02,5,2,12,40.0,9500.00
2032078,Гостиница «Усадьба Егорова»,2026-07-02,10,8,20,80.0,7000.00
2112642,"Гостиница ""Автовокзал""",2026-07-02,22,4,6,18.18,2600.00
425543,"Отель ""Звезда""",2026-07-02,64,7,16,10.94,7600.00
1378154,"Гостиница ""Байкал - Северное море""",2026-07-02,120,13,33,10.83,5940.00
767249,"Отель ""Купеческий Дворъ""",2026-07-02,14,11,33,78.57,6560.00
898794,"Бутик-отель ""Маруся""",2026-07-02,14,7,16,50.0,6300.00
1335449,Отель Амурский,2026-07-02,17,11,26,64.71,17900.00
1345611,Гостиница,2026-07-02,29,5,11,17.24,10925.00
1390108,"Гостиница  ""Воробьевы горы""",2026-07-02,11,7,28,63.64,11000.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-07-02,99,6,36,6.06,12254.00
1899852,Отель «Байкал-Аляска»,2026-07-02,24,4,8,16.67,9500.00
1979910,"Отель""NUUR HOTEL""",2026-07-02,28,7,20,25.0,7100.00
1450305,Дача БайкалЭко,2026-07-02,10,4,8,40.0,15000.00
2110558,"Гостиница ""Малый отель""",2026-07-02,11,7,12,63.64,4500.00
2131235,"Отель ""Усадьба 1901""",2026-07-02,18,6,10,33.33,6200.00
